name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
amd turion ii neo n40l dual-core,1.50,,2.0,2.0,,,,,15.00,617,635,2 x 64 kb,2 x 64 kb,2 x 1024 kb,,,,,1822.0,1438.0,4.0,1801.0,,12942.0,71.0,299.0,635
amd turion ii neo k625 dual-core,1.50,,2.0,2.0,,,,,15.00,618,631,2 x 64 kb,2 x 64 kb,2 x 1024 kb,,,,,1808.0,1534.0,4.0,1849.0,,13104.0,77.0,304.0,631
mt6795mm,1.80,,8.0,8.0,,,,,,618,567,,,,,,,,18458.0,2449.0,4.0,3312.0,,7249.0,56.0,163.0,567
intel atom z3740,1.30,1.90,4.0,4.0,,,,,4.00,621,410,8 x 32 kb,8 x 24 kb,2 x 1024 kb,,,,,1102.0,1220.0,2.0,2594.0,,18429.0,120.0,252.0,410
intel atom z3745,1.30,1.90,4.0,4.0,,,,,4.00,621,435,8 x 32 kb,8 x 24 kb,2 x 1024 kb,,,,,850.0,1247.0,2.0,2676.0,,18363.0,111.0,255.0,435
intel core2 duo t5800,2.00,,2.0,2.0,,,,,35.00,622,722,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,2516.0,1325.0,3.0,2016.0,,14351.0,78.0,230.0,722
intel pentium 957,1.20,,2.0,2.0,,,,,17.00,622,574,4 x 32 kb,4 x 32 kb,4 x 256 kb,2 mb,,,,,,,,,,,,574
allwinner h618,1.40,,4.0,4.0,,,,,,623,396,,,,,,,,2481.0,1147.0,,2799.0,,15098.0,51.0,1377.0,396
amd athlon 64 x2 ql-64,2.10,,2.0,2.0,,,,,35.00,624,731,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,2149.0,1530.0,3.0,2058.0,,14991.0,61.0,213.0,731
intel pentium u5600,1.30,,2.0,2.0,,,,,18.00,624,588,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,2527.0,1518.0,5.0,1619.0,,12069.0,80.0,364.0,588
intel celeron n3000,1.00,2.10,2.0,2.0,,,,,4.00,626,568,2 x 32 kb,2 x 24 kb,2 x 1024 kb,,,,,2877.0,658.0,3.0,1819.0,,12795.0,75.0,280.0,568
intel core i5 430um,1.20,1.70,2.0,4.0,,,,,18.00,627,481,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,2791.0,1333.0,4.0,1539.0,,11598.0,86.0,327.0,481
intel pentium t3200,2.00,,2.0,2.0,,,,,35.00,631,711,2 x 32 kb,2 x 32 kb,1 x 1024 kb,,,,,2466.0,1475.0,2.0,2096.0,,14816.0,70.0,236.0,711
generic dt based system,1.50,,4.0,4.0,,,,,,632,459,,,,,,,,2662.0,1496.0,,2934.0,,15227.0,59.0,1457.0,459
celeron dual-core t3300,2.00,,2.0,2.0,,,,,35.00,633,711,2 x 32 kb,2 x 32 kb,1 x 1024 kb,,,,,2437.0,1749.0,2.0,1807.0,,14212.0,68.0,232.0,711
arm cortex-a55 4 core (duplicate 1),1.80,,4.0,4.0,,,,,,634,292,,,,,,,,11572.0,2140.0,3.0,3128.0,,4794.0,60.0,273.0,292
amd athlon 64 x2 ql-65,2.10,,2.0,2.0,,,,,35.00,637,681,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,2106.0,1586.0,3.0,1963.0,,14954.0,66.0,210.0,681
amd e2-7015,1.50,,2.0,2.0,,,,,,637,491,2 x 32 kb,2 x 32 kb,1 x 1024 kb,,,,,3590.0,885.0,2.0,1369.0,,9834.0,53.0,304.0,491
intel core i3 10110u,2.10,4.10,2.0,4.0,,,,,15.00,3898,2195,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,12187.0,7638.0,14.0,6664.0,1288.0,51053.0,301.0,3365.0,2195
