name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
mt6752,1.70,,8.0,8.0,,,,,,1728,486,,,,,,,,20564.0,3248.0,5.0,5796.0,1683.0,34216.0,93.0,425.0,486
intel celeron 3965u,2.20,,2.0,2.0,,,,,15.00,1732,1339,2 x 32 kb,2 x 32 kb,2 x 256 kb,2 mb,,,,4784.0,4328.0,10.0,3199.0,,25588.0,184.0,880.0,1339
mt6762,2.00,,8.0,8.0,,,,,,1735,579,,,,,,,,15893.0,2998.0,4.0,6971.0,1899.0,33001.0,87.0,1012.0,579
mt6752m,1.70,,8.0,8.0,,,,,,1735,398,,,,,,,,17086.0,2817.0,5.0,5396.0,2168.0,29891.0,93.0,424.0,398
"qualcomm technologies, inc apq8096",2.20,,4.0,4.0,,,,,,1739,1052,,,,,,,,9798.0,3769.0,5.0,4980.0,,26483.0,146.0,541.0,1052
amd a10-7300 apu,1.90,3.20,,,,,,,19.00,1742,863,4 x 16 kb,4 x 96 kb,4 x 2048 kb,,,,,9866.0,2925.0,9.0,3277.0,,27700.0,158.0,1007.0,863
amd a10-4657m apu,2.30,3.20,,,,,,,35.00,1759,940,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,,,,,,,,,940
amd phenom ii n830 3+1,2.10,,4.0,4.0,,,,,35.00,1768,935,4 x 64 kb,4 x 64 kb,4 x 512 kb,,,,,,,,,,,,,935
mediatek mt6765v/wb,2.30,,8.0,8.0,,,,,,1771,607,,,,,,,,21683.0,3488.0,4.0,6210.0,2005.0,25736.0,82.0,454.0,607
mt6757wd,2.40,,8.0,8.0,,,,,,1771,632,,,,,,,,23771.0,3764.0,5.0,5945.0,1587.0,34354.0,90.0,444.0,632
via eden (duplicate 1),1.20,,1.0,1.0,,,,,7.00,93,97,1 x 64 kb,1 x 64 kb,1 x 128 kb,,,,,,,,,,,,,97
omap4 espresso board,1.00,,2.0,2.0,,,,,,98,222,,,,,,,,549.0,245.0,,429.0,,3490.0,16.0,26.0,222
intel core i9 12900hk,2.50,5.00,6.0,12.0,1.80,3.80,8.0,8.0,45.00,27239,3641,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,94971.0,67243.0,110.0,35020.0,18525.0,312698.0,1795.0,18679.0,3641
intel core i5 14500hx,2.60,4.90,6.0,12.0,1.90,3.50,8.0,8.0,55.00,27502,3440,6 x 32 kb,6 x 48 kb,6 x 2048 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 4096 kb,89729.0,66018.0,131.0,33836.0,18803.0,324551.0,1973.0,19711.0,3440
amd ryzen 7 8845h,3.80,5.10,8.0,16.0,,,,,45.00,27719,3689,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,96540.0,58979.0,83.0,38433.0,20213.0,337569.0,1315.0,25047.0,3689
intel core i5 13600hx,2.60,4.80,6.0,12.0,1.90,3.60,8.0,8.0,55.00,27762,3669,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,97014.0,69135.0,103.0,35980.0,19251.0,328182.0,1707.0,19103.0,3669
intel core i9 12900h,2.50,5.00,6.0,12.0,1.80,3.80,8.0,8.0,45.00,27854,3768,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,95594.0,69165.0,108.0,35925.0,18943.0,323111.0,1780.0,19237.0,3768
intel core i5 13500e,2.40,4.60,6.0,12.0,1.50,3.30,8.0,8.0,65.00,28036,3858,,,,,,,,104088.0,70867.0,74.0,45884.0,22716.0,314062.0,1414.0,16812.0,3858
amd ryzen 9 pro 7940hs,4.00,5.20,8.0,16.0,,,,,45.00,28209,3765,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,99419.0,59326.0,89.0,38446.0,20331.0,337158.0,1403.0,24675.0,3765
amd ryzen 7 7840h,3.80,5.10,8.0,16.0,,,,,54.00,28390,3720,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,99304.0,59945.0,85.0,38483.0,20643.0,347649.0,1327.0,25929.0,3720
amd ryzen ai 9 365,2.00,5.00,4.0,8.0,,,6.0,12.0,28.00,28487,3679,10 x 32 kb,10 x 48 kb,10 x 1024 kb,8 mb,,,,99823.0,60309.0,112.0,38144.0,17901.0,336495.0,1758.0,23572.0,3679
intel core i9 13900h,2.60,5.40,6.0,12.0,1.90,4.10,8.0,8.0,45.00,28651,3844,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,100541.0,72085.0,107.0,36832.0,19754.0,339086.0,1798.0,20029.0,3844
amd ryzen 9 7940h,4.00,5.20,8.0,16.0,,,,,54.00,28660,3956,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,102023.0,62005.0,78.0,41501.0,21066.0,349615.0,1207.0,26817.0,3956
amd ryzen 7 8845hs,3.80,5.10,8.0,16.0,,,,,45.00,28830,3783,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,99895.0,60638.0,87.0,40908.0,20747.0,350998.0,1342.0,26096.0,3783
amd ryzen 7 7840hs,3.80,5.10,8.0,16.0,,,,,54.00,28919,3785,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,100251.0,60829.0,89.0,39785.0,20944.0,350661.0,1390.0,26095.0,3785
amd ryzen 7 pro 8845hs,3.80,5.10,8.0,16.0,,,,,45.00,29199,3835,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,101724.0,62109.0,87.0,40427.0,21197.0,351316.0,1344.0,26360.0,3835
intel core ultra 9 185h,2.30,5.10,6.0,12.0,1.80,3.80,10.0,10.0,45.00,29407,3714,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99096.0,73657.0,124.0,38603.0,19944.0,341515.0,1987.0,20280.0,3714
intel core i7 12700e,3.60,4.80,8.0,16.0,1.60,2.10,4.0,4.0,65.00,29645,3758,10 x 32 kb,10 x 64 kb,2 x 2048 kb,25 mb,,,,110923.0,80979.0,101.0,39239.0,19430.0,338884.0,1680.0,21325.0,3758
amd ryzen 9 8945hs,4.00,5.20,8.0,16.0,,,,,45.00,29752,3862,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,102580.0,62596.0,93.0,41899.0,21408.0,356002.0,1431.0,27071.0,3862
intel core i7 12800he,2.40,4.60,6.0,12.0,,3.50,8.0,8.0,45.00,29805,3313,8 x 32 kb,8 x 64 kb,2 x 2048 kb,24 mb,,,,99136.0,73792.0,136.0,35155.0,17840.0,390779.0,2073.0,22916.0,3313
amd ryzen 7 8745hs,3.80,5.10,8.0,16.0,,,,,45.00,29899,3828,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,99362.0,61075.0,93.0,44430.0,21351.0,361273.0,1460.0,26665.0,3828
intel core i9 13905h,2.60,5.40,6.0,12.0,1.90,4.10,8.0,8.0,45.00,30073,3711,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,102617.0,74118.0,124.0,37735.0,20720.0,359157.0,2078.0,21632.0,3711
amd ryzen 9 7940hs,4.00,5.20,8.0,16.0,,,,,54.00,30367,3903,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,104210.0,63688.0,92.0,41914.0,22091.0,371003.0,1463.0,27887.0,3903
amd ryzen 9 8945h,4.00,5.20,8.0,16.0,,,,,45.00,30376,3946,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,105745.0,65455.0,81.0,44163.0,22258.0,381924.0,1254.0,29416.0,3946
intel core i5 13500hx,2.50,4.70,6.0,12.0,1.80,3.50,8.0,8.0,55.00,30490,3655,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,103033.0,76792.0,106.0,40116.0,21587.0,374292.0,1783.0,22591.0,3655
amd ryzen 9 pro 8945hs,4.00,5.20,8.0,16.0,,,,,45.00,30494,3924,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,105355.0,63948.0,96.0,42722.0,21611.0,361204.0,1502.0,26884.0,3924
amd ryzen 7 8745h,,4.90,8.0,16.0,,,,,45.00,30500,3749,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,100402.0,62319.0,98.0,44359.0,21939.0,369628.0,1526.0,27513.0,3749
intel core i7 12850hx,2.10,4.80,8.0,16.0,1.50,3.40,8.0,8.0,55.00,30830,3713,8 x 32 kb,8 x 48 kb,8 x 1280 kb,25 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,109732.0,80171.0,112.0,40595.0,21251.0,367532.0,1831.0,22276.0,3713
amd ryzen ai 9 hx 375,2.00,5.10,4.0,8.0,2.00,3.30,8.0,16.0,28.00,31176,3922,12 x 32 kb,12 x 48 kb,12 x 1024 kb,8 mb,,,,112324.0,66488.0,113.0,41564.0,19869.0,382021.0,1849.0,27050.0,3922
intel core i7 13650hx,2.60,4.90,6.0,12.0,1.90,3.60,8.0,8.0,55.00,31442,3815,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,105163.0,77322.0,102.0,42044.0,22329.0,397136.0,1751.0,23930.0,3815
intel core i9 13900hk,2.60,5.40,6.0,12.0,,4.10,8.0,8.0,45.00,31536,3967,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,107162.0,76856.0,122.0,40498.0,21308.0,374735.0,2026.0,22429.0,3967
intel core i7 12800hx,2.00,4.80,8.0,16.0,1.50,3.40,8.0,8.0,55.00,32116,3734,8 x 32 kb,8 x 48 kb,8 x 1280 kb,25 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,111072.0,83562.0,110.0,43122.0,22343.0,394790.0,1772.0,24284.0,3734
intel core i9 12950hx,2.50,5.00,8.0,16.0,2.50,3.60,8.0,8.0,55.00,32321,3823,8 x 32 kb,8 x 48 kb,8 x 1280 kb,30 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,112323.0,82365.0,138.0,42101.0,21840.0,374563.0,2127.0,22506.0,3823
amd ryzen 7 7745hx,3.60,5.10,8.0,16.0,,,,,55.00,32707,3950,8 x 32 kb,8 x 32 kb,8 x 1024 kb,32 mb,,,,106702.0,64544.0,157.0,43978.0,23170.0,386674.0,1704.0,29189.0,3950
apple m4 pro 12 core,4.50,,8.0,8.0,2.60,,4.0,4.0,,33165,4645,,,,,,,,71589.0,72029.0,462.0,47036.0,19796.0,415950.0,4851.0,22517.0,4645
intel core i7 13700hx,2.10,5.00,8.0,16.0,1.50,3.70,8.0,8.0,55.00,33527,3864,8 x 32 kb,8 x 48 kb,8 x 1280 kb,30 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,119999.0,88345.0,127.0,42505.0,23016.0,403769.0,1973.0,24882.0,3864
intel core i9 12900hx,2.40,5.00,8.0,16.0,1.70,3.60,8.0,8.0,55.00,33744,3813,8 x 32 kb,8 x 48 kb,8 x 1280 kb,30 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,115230.0,85840.0,134.0,44693.0,23388.0,408166.0,2033.0,24724.0,3813
intel core i9 13900e,1.80,5.20,8.0,16.0,1.30,4.00,16.0,16.0,65.00,34049,3592,8 x 32 kb,8 x 48 kb,8 x 2048 kb,36 mb,16 x 64 kb,16 x 32 kb,4 x 4096 kb,141567.0,96882.0,147.0,47224.0,26710.0,419333.0,1948.0,22954.0,3592
asus tinker board 2/2s,2.00,,6.0,6.0,,,,,,1771,910,,,,,,,,14549.0,3594.0,5.0,4576.0,1095.0,31546.0,101.0,585.0,910
amd a8-6410 apu,2.00,2.40,4.0,4.0,,,,,15.00,1772,783,4 x 32 kb,4 x 32 kb,1 x 2048 kb,,,,,10913.0,2775.0,6.0,3955.0,,30223.0,120.0,927.0,783
amd r-464l apu,2.30,3.20,,,,,,,35.00,1773,1123,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,,,,,,,,,1123
intel core i7 820qm,1.70,3.10,4.0,8.0,,,,,45.00,1775,1014,4 x 32 kb,4 x 32 kb,4 x 256 kb,8 mb,,,,9351.0,4230.0,17.0,5073.0,,37050.0,294.0,1035.0,1014
intel core i3 4000m,2.40,,2.0,4.0,,,,,37.00,1781,1270,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,7675.0,3974.0,11.0,4533.0,,32793.0,213.0,2113.0,1270
amd a10-5745m apu,2.10,2.90,,,,,,,25.00,1782,945,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,12130.0,3310.0,8.0,3635.0,,29090.0,174.0,727.0,945
amd gx-420ca soc,2.00,,4.0,4.0,,,,,25.00,1785,677,4 x 32 kb,4 x 32 kb,1 x 2048 kb,,,,,10566.0,2547.0,6.0,3763.0,,29544.0,113.0,990.0,677
mediatek mt6757cd,2.40,,8.0,8.0,,,,,,1786,644,,,,,,,,23066.0,3674.0,5.0,6039.0,1555.0,32122.0,93.0,478.0,644
amd pro a4-3350b apu,2.00,2.40,4.0,4.0,,,,,15.00,1790,789,4 x 32 kb,4 x 32 kb,4 x 2048 kb,,,,,11157.0,2772.0,6.0,3863.0,,30356.0,122.0,921.0,789
amlogic amls905x5,2.40,,4.0,4.0,,,,,,1793,979,,,,,,,,14205.0,2806.0,5.0,8140.0,2214.0,39999.0,108.0,379.0,979
mt6763v/ct,2.50,,8.0,8.0,,,,,,1794,443,,,,,,,,21270.0,3381.0,5.0,5838.0,2099.0,31779.0,92.0,458.0,443
"qualcomm technologies, inc msm8976",1.80,,8.0,8.0,,,,,,1795,718,,,,,,,,16692.0,4326.0,6.0,4970.0,1103.0,30408.0,141.0,659.0,718
amd gx-420mc soc,2.00,,4.0,4.0,,,,,17.50,1796,695,4 x 32 kb,4 x 32 kb,4 x 2048 kb,,,,,11040.0,2743.0,6.0,4097.0,,30899.0,128.0,965.0,695
amd phenom ii x940 quad-core,2.40,,4.0,4.0,,,,,45.00,1797,785,4 x 64 kb,4 x 64 kb,4 x 512 kb,,,,,,,,,,,,,785
amd a8-5557m apu,2.10,3.10,,,,,,,35.00,1801,1037,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,12246.0,3348.0,9.0,3700.0,,28200.0,194.0,704.0,1037
intel celeron 4305u,2.20,,2.0,2.0,,,,,15.00,1807,1365,,,,,,,,5133.0,4301.0,10.0,3139.0,,26243.0,195.0,1856.0,1365
spreadtrum t603,1.80,,8.0,8.0,,,,,,1809,547,,,,,,,,15963.0,2883.0,5.0,6950.0,1881.0,28302.0,95.0,459.0,547
intel core i5 540m,2.50,3.10,2.0,4.0,,,,,35.00,1809,1159,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,7081.0,3124.0,8.0,3858.0,,28302.0,160.0,786.0,1159
amd gx-424cc soc,2.40,,4.0,4.0,,,,,25.00,1809,803,4 x 32 kb,4 x 32 kb,1 x 2048 kb,,,,,11115.0,2606.0,6.0,3844.0,,30464.0,117.0,892.0,803
snapdragon 8cx gen 3,3.00,,1.0,1.0,,,,,,1811,2463,,,,,,,,4083.0,3747.0,8.0,3166.0,,20457.0,180.0,976.0,2463
aarch64 rev 4 (aarch64),2.10,,8.0,8.0,,,,,,1813,588,,,,,,,,22806.0,3495.0,4.0,6222.0,1527.0,32641.0,91.0,529.0,588
amd a8-7410 apu,2.20,2.50,4.0,4.0,,,,,25.00,1818,804,4 x 32 kb,4 x 32 kb,1 x 2048 kb,,,,,11156.0,2873.0,6.0,4049.0,,31152.0,121.0,949.0,804
samsung exynos 7880,1.90,,8.0,8.0,,,,,,1818,468,,,,,,,,20221.0,3196.0,6.0,5422.0,1758.0,35576.0,114.0,515.0,468
mt6765v/wa,2.30,,8.0,8.0,,,,,,1820,617,,,,,,,,21700.0,3503.0,4.0,6117.0,1492.0,33927.0,101.0,876.0,617
arm cortex-a73 4 core (duplicate 2),2.00,,4.0,8.0,,,,,,1820,556,,,,,,,,25596.0,6730.0,7.0,8619.0,,16104.0,190.0,923.0,556
intel core m 5y70,1.10,2.60,2.0,4.0,,,,,4.50,1823,1081,4 x 32 kb,4 x 32 kb,4 x 256 kb,4 mb,,,,7145.0,4155.0,10.0,3104.0,,23295.0,187.0,1362.0,1081
"qualcomm technologies, inc msm8953",2.00,,8.0,8.0,,,,,,1824,531,,,,,,,,21113.0,3646.0,5.0,6734.0,1347.0,38435.0,108.0,827.0,531
mt6765,2.30,,8.0,8.0,,,,,,1825,615,,,,,,,,22192.0,3566.0,4.0,5875.0,1555.0,34112.0,91.0,652.0,615
intel atom x6211e (duplicate 1),1.30,3.00,2.0,2.0,,,,,6.00,1833,1208,,,,,,,,6032.0,3778.0,10.0,3404.0,1357.0,21386.0,159.0,622.0,1208
intel core i7 740qm,1.70,2.90,4.0,8.0,,,,,45.00,1833,1020,4 x 32 kb,4 x 32 kb,4 x 256 kb,6 mb,,,,9675.0,4198.0,16.0,5341.0,,38469.0,294.0,1071.0,1020
samsung exynos 7904,1.80,,8.0,8.0,,,,,,1836,753,,,,,,,,15273.0,3693.0,5.0,6064.0,1272.0,29442.0,154.0,1064.0,753
mediatek mt6765v/ca,2.30,,8.0,8.0,,,,,,1842,615,,,,,,,,22986.0,3469.0,5.0,6279.0,1530.0,33762.0,100.0,544.0,615
mediatek mt6762,2.00,,8.0,8.0,,,,,,1843,544,,,,,,,,19153.0,3016.0,5.0,6860.0,2330.0,28231.0,97.0,464.0,544
samsung exynos 7885,2.20,,8.0,8.0,,,,,,1845,866,,,,,,,,16460.0,3909.0,5.0,5796.0,1191.0,29962.0,157.0,867.0,866
intel core i3 2310e,2.10,,2.0,4.0,,,,,35.00,1845,733,4 x 32 kb,4 x 32 kb,4 x 256 kb,0 mb,,,,,,,,,,,,733
mediatek mt6757v,2.30,,8.0,8.0,,,,,,1846,596,,,,,,,,21775.0,3531.0,5.0,5559.0,1573.0,35150.0,96.0,534.0,596
intel core i3 4100e,2.40,,2.0,4.0,,,,,37.00,1848,1390,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,8583.0,4301.0,11.0,5147.0,,35836.0,179.0,2322.0,1390
intel celeron g3900te,2.30,,2.0,2.0,,,,,35.00,1850,1402,4 x 32 kb,4 x 32 kb,4 x 256 kb,2 mb,,,,5236.0,4475.0,10.0,3503.0,,25910.0,184.0,949.0,1402
arm cortex-a53 6 core,1.90,,6.0,6.0,,,,,,1851,751,,,,,,,,18846.0,5244.0,5.0,5387.0,,36174.0,158.0,675.0,751
intel core i5 4230u,1.90,2.90,2.0,4.0,,,,,15.00,1853,1620,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,,,,,,,,,1620
intel core i7 2637m,1.70,2.80,2.0,4.0,,,,,17.00,1854,1144,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,6777.0,2589.0,11.0,4298.0,,29260.0,210.0,1236.0,1144
intel core i3 4110u,1.90,,2.0,4.0,,,,,,1860,1055,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,6039.0,2311.0,12.0,3891.0,,28408.0,195.0,1835.0,1055
rockchip rk3399 evb ind lpddr4 board lvds (android,1.80,,6.0,6.0,,,,,,1862,832,,,,,,,,13906.0,3021.0,5.0,4159.0,1798.0,28548.0,104.0,525.0,832
amd a8-5550m apu,2.10,3.10,,,,,,,35.00,1869,1039,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,12913.0,3482.0,9.0,3908.0,,30076.0,191.0,749.0,1039
intel core i3 5015u,2.10,,2.0,4.0,,,,,15.00,1870,1043,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,6029.0,3981.0,9.0,3392.0,,26539.0,179.0,1691.0,1043
intel core i3 4030u,1.90,,2.0,4.0,,,,,15.00,1875,1025,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,6309.0,3192.0,10.0,3704.0,,26474.0,190.0,1707.0,1025
intel core i5 2510e,2.50,3.10,2.0,4.0,,,,,35.00,1889,1183,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,8966.0,2844.0,11.0,5028.0,,32115.0,232.0,1445.0,1183
mt6765v/wb,2.30,,8.0,8.0,,,,,,1891,613,,,,,,,,23628.0,3601.0,5.0,6012.0,1762.0,33814.0,96.0,537.0,613
intel core m 5y10c,0.80,2.00,2.0,4.0,,,,,4.50,1892,1111,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,6544.0,4258.0,11.0,3436.0,,26467.0,193.0,1632.0,1111
mediatek mt6765v/cb,2.30,,8.0,8.0,,,,,,1892,602,,,,,,,,22578.0,3486.0,5.0,6448.0,1871.0,33211.0,97.0,541.0,602
hisilicon kirin 659,2.40,,8.0,8.0,,,,,,1893,670,,,,,,,,25436.0,3881.0,5.0,6245.0,1138.0,38006.0,89.0,585.0,670
intel core m 5y31,0.90,2.40,2.0,4.0,,,,,4.50,1896,1239,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,6006.0,3728.0,9.0,3412.0,,30248.0,204.0,1378.0,1239
intel core i3 3130m,2.60,,2.0,4.0,,,,,35.00,1900,1285,4 x 32 kb,4 x 32 kb,4 x 256 kb,0 mb,,,,7963.0,4036.0,12.0,4967.0,,35342.0,235.0,1509.0,1285
mediatek mt6797,1.80,,10.0,10.0,,,,,,1903,799,,,,,,,,22912.0,4376.0,8.0,6031.0,,37490.0,139.0,555.0,799
intel core m 5y10a,0.80,2.00,2.0,4.0,,,,,4.50,1905,993,4 x 32 kb,4 x 32 kb,4 x 256 kb,4 mb,,,,,,,,,,,,993
intel core i5 4422e,1.80,2.90,2.0,4.0,,,,,25.00,1907,1048,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,,,,,,,,,1048
p22,2.00,,8.0,8.0,,,,,,1908,537,,,,,,,,19860.0,3230.0,5.0,5196.0,2635.0,30574.0,82.0,491.0,537
intel core i5 560m,2.70,3.20,2.0,4.0,,,,,35.00,1910,1244,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,7447.0,3269.0,8.0,4100.0,,30299.0,165.0,827.0,1244
allwinner a523,1.80,,8.0,8.0,,,,,,1910,585,,,,,,,,17803.0,3299.0,4.0,6803.0,1794.0,37784.0,80.0,626.0,585
intel core i7 2677m,1.80,2.90,2.0,4.0,,,,,17.00,1912,1260,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,7533.0,2785.0,11.0,4291.0,,31111.0,227.0,1183.0,1260
"qualcomm technologies, inc bengal-iot",2.00,,8.0,8.0,,,,,,1912,727,,,,,,,,19635.0,4601.0,5.0,6527.0,1173.0,40811.0,112.0,653.0,727
mt8768ca,2.50,,10.0,10.0,,,,,,1912,545,,,,,,,,19448.0,3115.0,4.0,5324.0,2504.0,30601.0,99.0,512.0,545
amd a10 pro-7350b apu,2.10,3.30,,,,,,,19.00,1915,917,4 x 16 kb,4 x 96 kb,4 x 2048 kb,,,,,10981.0,3253.0,9.0,3618.0,,31262.0,156.0,1150.0,917
intel core2 quad q9100,2.30,,4.0,4.0,,,,,45.00,1915,986,4 x 32 kb,4 x 32 kb,2 x 6144 kb,,,,,8582.0,4367.0,16.0,4897.0,,37935.0,227.0,719.0,986
intel core i3 4158u,2.00,,2.0,4.0,,,,,28.00,1921,1075,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,6560.0,3573.0,13.0,3982.0,,29700.0,236.0,1937.0,1075
"qualcomm technologies, inc sdm630",2.20,,8.0,8.0,,,,,,1921,607,,,,,,,,22935.0,3710.0,6.0,6943.0,1468.0,39415.0,111.0,534.0,607
amd a10-4600m apu,2.30,3.20,,,,,,,35.00,1938,1078,4 x 16 kb,4 x 64 kb,4 x 2048 kb,,,,,12809.0,3527.0,9.0,3983.0,,30543.0,212.0,778.0,1078
allwinner h728,1.80,,8.0,8.0,,,,,,1940,623,,,,,,,,16543.0,3168.0,5.0,7265.0,1921.0,34988.0,98.0,471.0,623
mt6757w,2.30,,8.0,8.0,,,,,,1941,606,,,,,,,,22754.0,3651.0,5.0,5802.0,1882.0,35465.0,92.0,524.0,606
intel core i5 2410m,2.30,2.90,2.0,4.0,,,,,35.00,1942,1201,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,7201.0,2782.0,11.0,4661.0,,30953.0,211.0,1335.0,1201
intel core i3 4120u,2.00,,2.0,4.0,,,,,15.00,1948,1177,4 x 32 kb,4 x 32 kb,4 x 256 kb,3 mb,,,,,,,,,,,,1177
"qualcomm technologies, inc qcs610",2.20,,8.0,8.0,,,,,,1949,1407,,,,,,,,7816.0,5708.0,1.0,8666.0,,56710.0,200.0,3715.0,1407
intel pentium iii mobile 866mhz,0.90,,1.0,1.0,,,,,,99,132,,,,,,,,,,,,,,,,132
intel celeron b710,1.60,,1.0,1.0,,,,,35.00,106,101,4 x 32 kb,4 x 32 kb,4 x 256 kb,2 mb,,,,,,,,,,,,101
arm cortex-a7 2 core 960 mhz,1.00,,2.0,2.0,,,,,,111,160,,,,,,,,587.0,245.0,,403.0,,2599.0,16.0,44.0,160
intel pentium 4 mobile 1.80ghz,1.80,,1.0,1.0,,,,,,114,195,,,,,,,,,,,,,,,,195
via c7-m (duplicate 1),1.60,,1.0,1.0,,,,,15.00,116,124,1 x 64 kb,1 x 64 kb,1 x 128 kb,,,,,,,,,,,,,124
intel pentium 4 mobile 1.60ghz,1.60,,1.0,1.0,,,,,,116,254,,,,,,,,,,,,,,,,254
mobile intel celeron 1.70ghz,1.70,,1.0,1.0,,,,,,118,254,,,,,,,,,,,,,,,,254
intel pentium iii mobile 800mhz,0.80,,1.0,1.0,,,,,,119,155,,,,,,,,,,,,,,,,155
mobile intel pentium 4   m 1.80ghz,1.80,,1.0,1.0,,,,,,119,297,,,,,,,,,,,,,,,,297
amd g-t40r,1.00,,1.0,1.0,,,,,5.50,120,327,1 x 32 kb,1 x 32 kb,1 x 512 kb,,,,,,,,,,,,,327
amd g-t44r,1.20,,1.0,1.0,,,,,9.00,120,302,1 x 32 kb,1 x 32 kb,1 x 512 kb,,,,,624.0,333.0,1.0,362.0,,2950.0,20.0,46.0,302
mobile intel celeron 1.80ghz,1.80,,1.0,1.0,,,,,66.10,121,280,,,,,,,,,,,,,,,,280
mobile intel pentium 4   m 1.70ghz,1.70,,1.0,1.0,,,,,,121,297,,,,,,,,,,,,,,,,297
intel atom z520,1.30,,1.0,2.0,,,,,2.00,122,151,,,,,,,,188.0,208.0,,380.0,,3185.0,25.0,25.0,151
intel celeron m 900mhz,0.90,,1.0,1.0,,,,,,123,155,,,,,,,,,,,,,,,,155
intel celeron m 410,1.50,,1.0,1.0,,,,,27.00,123,301,1 x 32 kb,1 x 32 kb,1 x 1024 kb,,,,,,,,,,,,,301
intel celeron m 443,1.20,,1.0,1.0,,,,,5.50,125,288,1 x 32 kb,1 x 32 kb,1 x 1024 kb,,,,,,,,,,,,,288
intel core solo u1300,1.10,,1.0,1.0,,,,,6.00,127,340,1 x 32 kb,1 x 32 kb,1 x 2048 kb,,,,,287.0,359.0,,511.0,,3295.0,23.0,28.0,340
