CHECKING RESULT OF CPU:

--------------------------------------------------
Checking number of records in JSON file and database
Number of records in JSON file: 2406
Number of records in database: 2348

Number of records in JSON file and database do not match
--------------------------------------------------

--------------------------------------------------
Checking if all records in JSON file are in database
Checking record 891: Matched
Checking record 892: Matched
Checking record 893: Matched
Checking record 894: Matched
Checking record 895: Matched
Checking record 896: Matched
Checking record 897: Matched
Checking record 898: Unmatched
Checking record 899: Matched
Checking record 900: Matched
Checking record 901: Matched
Checking record 902: Matched
Checking record 903: Matched
Checking record 904: Unmatched
Checking record 905: Matched
Checking record 906: Matched
Checking record 907: Matched
Checking record 908: Matched
Checking record 909: Matched
Checking record 910: Matched
Checking record 911: Unmatched
Checking record 912: Matched
Checking record 913: Matched
Checking record 914: Matched
Checking record 915: Matched
Checking record 916: Matched
Checking record 917: Matched
Checking record 918: Unmatched
Checking record 919: Matched
Checking record 920: Matched
Checking record 921: Unmatched
Checking record 922: Matched
Checking record 923: Matched
Checking record 924: Matched
Checking record 925: Matched
Checking record 926: Matched
Checking record 927: Matched
Checking record 928: Matched
Checking record 929: Matched
Checking record 930: Matched
Checking record 931: Matched
Checking record 932: Matched
Checking record 933: Matched
Checking record 934: Unmatched
Checking record 935: Matched
Checking record 936: Matched
Checking record 937: Matched
Checking record 938: Matched
Checking record 939: Matched
Checking record 940: Matched
Checking record 941: Matched
Checking record 942: Matched
Checking record 943: Matched
Checking record 944: Matched
Checking record 945: Matched
Checking record 946: Matched
Checking record 947: Matched
Checking record 948: Matched
Checking record 949: Matched
Checking record 950: Matched
Checking record 951: Matched
Checking record 952: Matched
Checking record 953: Matched
Checking record 954: Unmatched
Checking record 955: Matched
Checking record 956: Matched
Checking record 957: Matched
Checking record 958: Matched
Checking record 959: Matched
Checking record 960: Matched
Checking record 961: Matched
Checking record 962: Matched
Checking record 963: Matched
Checking record 964: Matched
Checking record 965: Matched
Checking record 966: Matched
Checking record 967: Matched
Checking record 968: Matched
Checking record 969: Matched
Checking record 970: Matched
Checking record 971: Matched
Checking record 972: Matched
Checking record 973: Matched
Checking record 974: Matched
Checking record 975: Matched
Checking record 976: Matched
Checking record 977: Matched
Checking record 978: Matched
Checking record 979: Matched
Checking record 980: Matched
Checking record 981: Matched
Checking record 982: Matched
Checking record 983: Matched
Checking record 984: Matched
Checking record 985: Matched
Checking record 986: Matched
Checking record 987: Matched
Checking record 988: Matched
Checking record 989: Matched
Checking record 990: Unmatched
Checking record 991: Matched
Checking record 992: Matched
Checking record 993: Matched
Checking record 994: Unmatched
Checking record 995: Matched
Checking record 996: Matched
Checking record 997: Matched
Checking record 998: Matched
Checking record 999: Matched
Checking record 1000: Matched
Checking record 1001: Matched
Checking record 1002: Matched
Checking record 1003: Matched
Checking record 1004: Matched
Checking record 1005: Unmatched
Checking record 1006: Matched
Checking record 1007: Matched
Checking record 1008: Matched
Checking record 1009: Matched
Checking record 1010: Matched
Checking record 1011: Matched
Checking record 1012: Unmatched
Checking record 1013: Matched
Checking record 1014: Matched
Checking record 1015: Matched
Checking record 1016: Unmatched
Checking record 1017: Matched
Checking record 1018: Matched
Checking record 1019: Matched
Checking record 1020: Matched
Checking record 1021: Matched
Checking record 1022: Matched
Checking record 1023: Matched
Checking record 1024: Matched
Checking record 1025: Matched
Checking record 1026: Unmatched
Checking record 1027: Matched
Checking record 1028: Matched
Checking record 1029: Matched
Checking record 1030: Unmatched
Checking record 1031: Unmatched
Checking record 1032: Matched
Checking record 1033: Matched
Checking record 1034: Matched
Checking record 1035: Matched
Checking record 1036: Matched
Checking record 1037: Matched
Checking record 1038: Matched
Checking record 1039: Matched
Checking record 1040: Unmatched
Checking record 1041: Matched
Checking record 1042: Matched
Checking record 1043: Matched
Checking record 1044: Matched
Checking record 1045: Matched
Checking record 1046: Matched
Checking record 1047: Matched
Checking record 1048: Matched
Checking record 1049: Matched
Checking record 1050: Matched
Checking record 1051: Matched
Checking record 1052: Matched
Checking record 1053: Matched
Checking record 1054: Matched
Checking record 1055: Matched
Checking record 1056: Matched
Checking record 1057: Matched
Checking record 1058: Matched
Checking record 1059: Matched
Checking record 1060: Matched
Checking record 1061: Unmatched
Checking record 1062: Matched
Checking record 1063: Matched
Checking record 1064: Matched
Checking record 1065: Matched
Checking record 1066: Matched
Checking record 1067: Matched
Checking record 1068: Matched
Checking record 1069: Matched
Checking record 1070: Matched
Checking record 1071: Matched
Checking record 1072: Matched
Checking record 1073: Matched
Checking record 1074: Matched
Checking record 1075: Matched
Checking record 1076: Matched
Checking record 1077: Matched
